Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
993;5700152854;"Journal of Policy History";journal;"08980306, 15284190";0,145;Q4;21;16;64;611;31;61;0,31;38,19;United Kingdom;Western Europe;"Cambridge University Press";"1989-2021";"Public Administration (Q4); Sociology and Political Science (Q4)"
994;21100898972;"Somatechnics";journal;"20440146, 20440138";0,145;Q4;3;24;60;1029;24;45;0,47;42,88;United Kingdom;Western Europe;"Edinburgh University Press";"2018-2021";"Arts and Humanities (miscellaneous) (Q3); Law (Q3); Anatomy (Q4); Human-Computer Interaction (Q4); Human Factors and Ergonomics (Q4); Sociology and Political Science (Q4)"
995;19700177537;"Anali Hrvatskog Politoloskog Drustva";journal;"18456707, 18475299";0,144;Q4;3;16;42;810;9;40;0,26;50,63;Croatia;Eastern Europe;"Croatian Political Science Association";"2017-2021";"Sociology and Political Science (Q4)"
996;21100259507;"International Journal of Public Law and Policy";journal;"20447671, 20447663";0,144;Q4;4;20;15;963;3;14;0,20;48,15;Switzerland;Western Europe;"Inderscience Publishers";"2011-2017, 2019-2021";"Law (Q3); Sociology and Political Science (Q4)"
997;21100199340;"Kajian Malaysia";journal;"01274082, 21804273";0,144;Q4;11;18;49;845;29;47;0,42;46,94;Malaysia;Asiatic Region;"Penerbit Universiti Sains Malaysia";"2011-2021";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q4)"
998;14300;"Harvard Journal of Law and Public Policy";journal;"01934872";0,143;Q4;28;7;77;2061;19;74;0,30;294,43;United States;Northern America;"Harvard University";"1980, 1985, 1990, 1995-2021";"Law (Q3); Sociology and Political Science (Q4)"
999;14000155892;"Insight Turkey";journal;"1302177X";0,143;Q4;21;16;124;374;59;80;0,54;23,38;Turkey;Middle East;"SETA";"2009-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q4)"
1000;19900191551;"International Review of the Red Cross";journal;"16075889, 18163831";0,143;Q4;39;36;131;1305;38;128;0,25;36,25;United Kingdom;Western Europe;"Cambridge University Press";"2005-2021";"Law (Q3); Sociology and Political Science (Q4)"
1001;5600152970;"Japanese Studies";journal;"10371397";0,143;Q4;18;20;56;972;20;56;0,28;48,60;United Kingdom;Western Europe;"Routledge";"1981-2021";"Cultural Studies (Q2); History (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q4)"
1002;21100885612;"Journal of Migration History";journal;"23519924, 23519916";0,143;Q4;4;11;53;933;12;53;0,21;84,82;Netherlands;Western Europe;"Brill Academic Publishers";"2015-2021";"Cultural Studies (Q2); History (Q2); Anthropology (Q3); Demography (Q4); Sociology and Political Science (Q4)"
1003;20000195031;"Krisis";journal;"18757103, 0168275X";0,143;Q4;7;10;115;470;28;113;0,18;47,00;Netherlands;Western Europe;"Stichting Krisis";"2011-2021";"Cultural Studies (Q2); Philosophy (Q3); Sociology and Political Science (Q4)"
1004;12431;"Prace i Studia Geograficzne";journal;"02084589";0,143;Q4;10;50;72;1663;15;71;0,21;33,26;Poland;Eastern Europe;"Warsaw University";"1979, 1983-1985, 1988, 1992, 1994-2005, 2008-2021";"Cultural Studies (Q2); Urban Studies (Q3); Earth and Planetary Sciences (miscellaneous) (Q4); Geography, Planning and Development (Q4); Sociology and Political Science (Q4); Tourism, Leisure and Hospitality Management (Q4)"
1005;19700168716;"Australian Aboriginal Studies";journal;"07294352";0,142;Q4;14;0;6;0;3;5;0,00;0,00;Australia;Pacific Region;"Aboriginal Studies Press";"2008-2018";"Cultural Studies (Q2); History (Q2); Visual Arts and Performing Arts (Q2); Anthropology (Q3); Sociology and Political Science (Q4)"
1006;21100229170;"Revista Portuguesa de Estudos Regionais";journal;"1645586X";0,142;Q4;5;26;72;1570;28;70;0,46;60,38;Portugal;Western Europe;"Associacao Portuguesa para o Desenvolvimento Regional (APDR)";"2012-2021";"Urban Studies (Q3); Geography, Planning and Development (Q4); Sociology and Political Science (Q4)"
1007;16633;"Russian Education and Society";journal;"15580423, 10609393";0,142;Q4;8;0;65;0;18;65;0,05;0,00;United States;Northern America;"M.E. Sharpe Inc.";"1965, 1975, 1986-1987, 1990, 1992-2019";"Education (Q4); Sociology and Political Science (Q4)"
1008;21100891034;"Asian Review of World Histories";journal;"22879811, 2287965X";0,141;Q4;5;4;48;275;10;44;0,12;68,75;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2021";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q4)"
1009;13818;"Cornell Journal of Law and Public Policy";journal;"10690565";0,141;Q4;11;0;36;0;15;35;0,33;0,00;United States;Northern America;"Joe Christensen, Inc.";"1993, 1997-2002, 2004-2007, 2009, 2011-2020";"Law (Q3); Sociology and Political Science (Q4)"
1010;21100784268;"International Human Rights Law Review";journal;"22131027, 22131035";0,141;Q4;6;12;33;521;13;33;0,57;43,42;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2021";"Law (Q3); Sociology and Political Science (Q4)"
1011;4400151416;"Muslim World Journal of Human Rights";journal;"15544419";0,141;Q4;12;9;13;566;3;13;0,25;62,89;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2007, 2009-2021";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q4)"
1012;16608;"Slavonic and East European Review";journal;"00376795";0,141;Q4;15;21;67;1341;15;67;0,18;63,86;United Kingdom;Western Europe;"Maney Publishing";"1971, 1979-1981, 1999, 2002-2021";"Cultural Studies (Q2); History (Q2); Literature and Literary Theory (Q2); Linguistics and Language (Q3); Sociology and Political Science (Q4)"
1013;21100927210;"Balkan Social Science Review";journal;"18578772, 18578799";0,140;Q4;4;32;73;1111;10;73;0,18;34,72;Macedonia;Eastern Europe;"Goce Delchev University of Shtip";"2013-2021";"Law (Q3); Political Science and International Relations (Q3); Public Administration (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1014;21100871688;"Contemporary Chinese Political Economy and Strategic Relations";journal;"24109681";0,140;Q4;7;29;102;1479;31;98;0,19;51,00;Taiwan;Asiatic Region;"Institue of China and Asia-Pacific Studies, National Sun Yat-sen University";"2015-2020";"Political Science and International Relations (Q3); Economics and Econometrics (Q4); Sociology and Political Science (Q4)"
1015;21101028122;"Esbocos";journal;"1414722X, 21757976";0,140;Q4;2;41;33;1624;3;31;0,09;39,61;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2020-2021";"History (Q2); Anthropology (Q3); History and Philosophy of Science (Q3); Sociology and Political Science (Q4)"
1016;21100904427;"International Journal for Research on Service-Learning and Community Engagement";journal;"23749466";0,140;Q4;2;0;29;0;12;29;0,38;0,00;United States;Northern America;"Tulane University";"2018-2019";"Political Science and International Relations (Q3); Education (Q4); Sociology and Political Science (Q4)"
1017;21101037169;"Journal of Community Positive Practices";journal;"22476571, 15828344";0,140;Q4;3;25;24;756;17;24;0,71;30,24;Romania;Eastern Europe;"";"2019-2021";"Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1018;19400156803;"Journal of Human Security";journal;"18353800";0,140;Q4;8;10;26;498;11;23;0,42;49,80;Switzerland;Western Europe;"Librello publishing house";"2009-2011, 2013-2017, 2019-2021";"Law (Q3); Political Science and International Relations (Q3); Safety Research (Q4); Sociology and Political Science (Q4)"
1019;19700169886;"Journal of Philosophical Economics: Reflections on Economic and Social Issues";journal;"18432298, 18448208";0,140;Q4;2;11;19;458;5;19;0,33;41,64;Romania;Eastern Europe;"Rosetti International Publishing House";"2017-2019";"Philosophy (Q3); Economics and Econometrics (Q4); Sociology and Political Science (Q4)"
1020;5600156898;"Journal of Social Structure";journal;"15291227";0,140;Q4;7;0;19;0;10;18;0,53;0,00;United States;Northern America;"Carnegie Mellon University";"2012-2020";"Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1021;5600153364;"Sociologia, Problemas e Praticas";journal;"08736529";0,140;Q4;16;12;69;575;35;69;0,36;47,92;Portugal;Western Europe;"Instituto Superior de Ciencias do Trabalho e da Empresa";"1996-2021";"Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1022;19700173013;"Co-herencia";journal;"17945887";0,139;Q4;6;29;88;1059;12;85;0,20;36,52;Colombia;Latin America;"Universidad EAFIT";"2009-2021";"History (Q2); Literature and Literary Theory (Q2); Music (Q2); Visual Arts and Performing Arts (Q2); Philosophy (Q3); Sociology and Political Science (Q4)"
1023;21100823440;"Corvinus Journal of Sociology and Social Policy";journal;"2062087X, 20615558";0,139;Q4;5;17;67;676;21;58;0,27;39,76;Hungary;Eastern Europe;"Corvinus University of Budapest";"2016-2021";"Economics, Econometrics and Finance (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1024;21100222908;"Filosofia Politica";journal;"03947297";0,139;Q4;3;31;90;1248;10;82;0,17;40,26;Italy;Western Europe;"Il Mulino publishing house";"2012-2021";"History (Q2); Philosophy (Q3); Sociology and Political Science (Q4)"
1025;25764;"Internasjonal Politikk";journal;"0020577X";0,139;Q4;7;23;83;698;12;80;0,15;30,35;Norway;Western Europe;"Norwegian Institute of International Affairs";"1996-2015, 2019-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q4)"
1026;17100154725;"Journal of Persianate Studies";journal;"18747094, 18747167";0,139;Q4;9;5;25;329;6;24;0,07;65,80;Netherlands;Western Europe;"Brill Academic Publishers";"2008-2021";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q4)"
1027;15256;"Korean Journal of Defense Analysis";journal;"19414641, 10163271";0,139;Q4;11;12;85;232;25;85;0,30;19,33;South Korea;Asiatic Region;"Korea Institute for Defense Analyses";"1996-2021";"Political Science and International Relations (Q3); Safety Research (Q4); Sociology and Political Science (Q4)"
1028;21100227421;"Quinto Sol";journal;"03292665, 18512879";0,139;Q4;4;22;67;809;16;63;0,27;36,77;Argentina;Latin America;"Universidad Nacional de La Pampa";"2012-2021";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q4)"
1029;21100815472;"Region: Regional Studies of Russia, Eastern Europe, and Central Asia";journal;"21650659, 21664307";0,139;Q4;7;10;36;0;12;33;0,32;0,00;United States;Northern America;"Slavica Publishers";"2012-2020";"History (Q2); Economics and Econometrics (Q4); Sociology and Political Science (Q4)"
1030;5700161051;"A Contrario";journal;"16607880, 16628667";0,138;Q4;6;23;53;600;7;50;0,15;26,09;Switzerland;Western Europe;"Editions Antipodes";"2003-2007, 2009-2018, 2020-2021";"Cultural Studies (Q2); Literature and Literary Theory (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q4)"
1031;21100945164;"Alternativas";journal;"19899971, 11330473";0,138;Q4;2;15;18;807;6;18;0,33;53,80;Spain;Western Europe;"University of Alicante - Department of Social Work and Social Services";"2019-2021";"Health (social science) (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1032;21101011861;"Contention";journal;"25727184, 23301392";0,138;Q4;3;8;37;377;11;33;0,30;47,13;United States;Northern America;"Berghahn Journals";"2019-2021";"Cultural Studies (Q2); Sociology and Political Science (Q4)"
1033;5700160560;"Islamic Law and Society";journal;"15685195, 09289380";0,138;Q4;27;15;40;1433;24;40;0,54;95,53;Netherlands;Western Europe;"Brill Academic Publishers";"1994-2021";"Law (Q3); Sociology and Political Science (Q4)"
1034;21100903716;"Journal of Belarusian Studies";journal;"00754161, 20526512";0,137;Q4;2;11;13;316;3;10;0,25;28,73;United Kingdom;Western Europe;"Brill Academic Publishers";"2018";"Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3); Linguistics and Language (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q4)"
1035;26863;"Middle East Policy";journal;"14754967, 10611924";0,137;Q4;29;38;130;94;45;108;0,35;2,47;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1992-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q4)"
1036;13168;"Proceedings of the American Philosophical Society";conference and proceedings;"0003049X";0,137;-;19;0;38;0;7;19;0,09;0,00;United States;Northern America;"American Philosophical Society Library";"1945-1949, 1967-2016";"Arts and Humanities (miscellaneous); Cultural Studies; Medicine (miscellaneous); Sociology and Political Science"
1037;21100899913;"Espacio, Tiempo y Educacion";journal;"23407263";0,136;Q4;3;15;91;889;33;85;0,40;59,27;Spain;Western Europe;"FahrenHouse";"2018-2020";"History (Q2); Philosophy (Q3); Education (Q4); Sociology and Political Science (Q4)"
1038;20600195513;"Etnografia e Ricerca Qualitativa";journal;"19733194";0,136;Q4;10;20;82;843;33;77;0,45;42,15;Italy;Western Europe;"Il Mulino publishing house";"2012-2020";"Anthropology (Q3); Cultural Studies (Q3); Sociology and Political Science (Q4)"
1039;21100898604;"Vibrant Virtual Brazilian Anthropology";journal;"18094341";0,136;Q4;4;20;112;748;22;107;0,22;37,40;Brazil;Latin America;"Brazilian Anthropology Association";"2018-2021";"Anthropology (Q3); Cultural Studies (Q3); Sociology and Political Science (Q4); Urban Studies (Q4)"
1040;21100854425;"Annals of the Fondazione Luigi Einaudi";journal;"25324969";0,135;Q4;3;19;98;724;10;85;0,08;38,11;Italy;Western Europe;"Casa Editrice Leo S. Olschki";"2017-2019";"History (Q2); Economics, Econometrics and Finance (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1041;21100211106;"Historia Social";journal;"02142570";0,135;Q4;7;25;79;1419;13;78;0,19;56,76;Spain;Western Europe;"Fundacion Instituto de Historia Social";"2011-2021";"History (Q2); Sociology and Political Science (Q4)"
1042;21100887432;"International Journal of Intelligence, Security, and Public Affairs";journal;"23800992, 2380100X";0,135;Q4;6;21;46;1165;16;42;0,31;55,48;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2016-2021";"Information Systems and Management (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1043;21100258854;"International Journal of Interdisciplinary Social and Community Studies";journal;"23247584, 23247576";0,135;Q4;3;25;40;1295;11;40;0,31;51,80;United States;Northern America;"Common Ground Research Networks";"2013-2021";"Cultural Studies (Q3); Sociology and Political Science (Q4)"
1044;22339;"Nigerian Journal of Economic and Social Studies";journal;"00290092";0,135;Q4;5;12;25;491;9;25;0,32;40,92;Nigeria;Africa;"Nigerian Economic Society";"1967, 1974-1977, 1982, 1984-1988, 1992, 1996-2009, 2016-2021";"Economics and Econometrics (Q4); Finance (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1045;19900193554;"Revista de Derecho Comunitario Europeo";journal;"19895569, 11384026";0,135;Q4;6;25;78;784;8;63;0,10;31,36;Spain;Western Europe;"Centro de Estudios Politicos y Constitucionales";"2008-2021";"Law (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1046;21100291843;"Seoul Journal of Korean Studies";journal;"12250201";0,135;Q4;3;15;49;601;6;40;0,05;40,07;South Korea;Asiatic Region;"Kyujanggak Institute for Korean Studies, Seoul National University";"2013-2021";"Archeology (Q3); Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3); Linguistics and Language (Q3); Sociology and Political Science (Q4)"
1047;21100896265;"Journal of China and International Relations";journal;"22458921";0,134;Q4;2;0;29;0;8;28;0,15;0,00;Denmark;Western Europe;"Aalborg University Press";"2018-2019";"Economics, Econometrics and Finance (miscellaneous) (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1048;27980;"Modern Judaism";journal;"10863273, 02761114";0,134;Q4;14;17;45;769;10;43;0,17;45,24;United States;Northern America;"Oxford University Press";"1981-2021";"History (Q2); Religious Studies (Q2); Cultural Studies (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1049;14047;"Muslim World, The";journal;"14781913, 00274909";0,134;Q4;25;37;105;453;19;89;0,16;12,24;United States;Northern America;"Wiley-Blackwell";"1911-2021";"History (Q2); Religious Studies (Q2); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1050;21100201069;"Philippine Studies: Historical and Ethnographic Viewpoints";journal;"22441093, 22441638";0,134;Q4;10;5;69;275;25;59;0,36;55,00;Philippines;Asiatic Region;"Ateneo de Manila University";"2012-2021";"History (Q2); Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3); Sociology and Political Science (Q4)"
1051;21100813711;"Ragion Pratica";journal;"17202396";0,134;Q4;4;29;77;1424;9;73;0,13;49,10;Italy;Western Europe;"Societa Editrice Il Mulino";"2016-2021";"Law (Q3); Philosophy (Q3); Sociology and Political Science (Q4)"
1052;21100873331;"Debats";journal;"02120585, 25303074";0,133;Q4;2;29;96;1215;16;89;0,20;41,90;Spain;Western Europe;"Institucio Alfons el Magnanim-Centre Valencia d'Estudis i d'Investigacio. Diputacio de Valencia";"2018-2021";"Cultural Studies (Q3); Sociology and Political Science (Q4)"
1053;19900191907;"International Journal of Asia-Pacific Studies";journal;"18236243";0,133;Q4;7;13;42;759;16;42;0,16;58,38;Malaysia;Asiatic Region;"Universiti Sains Malaysia";"2011-2021";"Cultural Studies (Q3); Sociology and Political Science (Q4)"
1054;21100893272;"Lecturas de Economia";journal;"23230622, 01202596";0,133;Q4;7;20;48;813;14;48;0,12;40,65;Colombia;Latin America;"Universidad De Antioquia";"2005-2021";"Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Finance (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4); Statistics, Probability and Uncertainty (Q4)"
1055;5600153356;"Perfiles Latinoamericanos";journal;"01887653";0,133;Q4;10;17;91;698;36;91;0,28;41,06;Mexico;Latin America;"FLASCO-MEXICO";"2008-2021";"Sociology and Political Science (Q4)"
1056;17171;"Slavery and Abolition";journal;"17439523, 0144039X";0,133;Q4;24;41;107;0;44;102;0,35;0,00;United Kingdom;Western Europe;"Routledge";"1980-2021";"History (Q2); Sociology and Political Science (Q4)"
1057;60672;"Arab Studies Quarterly";journal;"02713519";0,132;Q4;3;19;57;716;11;47;0,18;37,68;United Kingdom;Western Europe;"Association of Arab-American University Graduates";"1979, 1981, 2001, 2018-2021";"Cultural Studies (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1058;21100307490;"Cahiers des Ameriques Latines";book series;"11417161";0,132;Q4;5;24;77;764;15;70;0,19;31,83;France;Western Europe;"Institut des Hautes Etudes de l'Amerique Latine (IHEAL)";"1972, 1976, 1978-1979, 1987, 2001-2002, 2012-2020";"Cultural Studies (Q3); Demography (Q4); Sociology and Political Science (Q4); Urban Studies (Q4)"
1059;21100268385;"Formation Emploi";journal;"21070946, 07596340";0,132;Q4;6;25;134;496;15;113;0,10;19,84;France;Western Europe;"Documentation Francaise";"2012-2021";"Organizational Behavior and Human Resource Management (Q4); Sociology and Political Science (Q4)"
1060;33459;"Desarrollo y Sociedad";journal;"01203584";0,131;Q4;7;21;51;712;18;44;0,24;33,90;Colombia;Latin America;"Universidad de los Andes";"1979-1985, 1994, 2010-2021";"Development (Q4); Economics and Econometrics (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1061;19700169859;"Journal of the Study of Radicalism";journal;"19301197, 19301189";0,131;Q4;8;11;42;624;10;28;0,25;56,73;United States;Northern America;"Michigan State University";"2010-2021";"History (Q2); Sociology and Political Science (Q4)"
1062;21100227422;"Revista da Abordagem Gestaltica";journal;"19843542, 18096867";0,131;Q4;4;30;122;1004;12;113;0,08;33,47;Brazil;Latin America;"Institute for Research and Training in Gestalt therapy Goiania";"2012-2021";"Social Psychology (Q4); Sociology and Political Science (Q4)"
1063;19900192704;"Romanian Journal of Political Science";journal;"20687613, 1582456X";0,131;Q4;10;0;22;0;8;22;0,31;0,00;Romania;Eastern Europe;"Publishing House of the Romanian Academy";"2009-2013, 2015-2020";"Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1064;21100455214;"Caritas et Veritas";journal;"18050948";0,130;Q4;2;41;97;1492;3;93;0,04;36,39;Czech Republic;Eastern Europe;"Faculty of Theology, University of South Bohemia";"2015-2020";"Religious Studies (Q2); Philosophy (Q3); Education (Q4); Sociology and Political Science (Q4)"
1065;21101051704;"Central Asian Affairs";journal;"22142290, 22142282";0,130;Q4;7;15;15;1184;7;15;0,00;78,93;Netherlands;Western Europe;"Brill Academic Publishers";"2021";"Political Science and International Relations (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1066;21100902943;"Discourse Approaches to Politics, Society and Culture";book series;"15699463";0,130;Q4;4;27;94;2118;25;1;0,08;78,44;Netherlands;Western Europe;"John Benjamins Publishing Company";"2018-2021";"Linguistics and Language (Q3); Communication (Q4); Gender Studies (Q4); Social Psychology (Q4); Sociology and Political Science (Q4)"
1067;21100409542;"Eurasian Studies Library";book series;"18779484";0,130;Q4;1;0;14;0;1;1;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2010, 2013-2016, 2018";"History (Q2); Cultural Studies (Q3); Sociology and Political Science (Q4)"
1068;21100407611;"International Comparative Social Studies";book series;"15684474";0,130;Q4;7;18;44;1407;1;1;0,02;78,17;Netherlands;Western Europe;"Brill Academic Publishers";"2007-2013, 2017-2021";"Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4); Urban Studies (Q4)"
1069;21100406310;"International Humanitarian Law Series";book series;"13896776";0,130;Q4;7;0;1;0;0;1;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2013, 2016, 2018";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1070;4100151515;"International Perspectives on Education and Society";book series;"14793679";0,130;Q4;16;0;104;0;36;1;0,31;0,00;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2002, 2005-2020";"Education (Q4); Sociology and Political Science (Q4)"
1071;5700162134;"Journal of Modern Jewish Studies";journal;"14725886";0,130;Q4;7;39;93;1865;23;82;0,27;47,82;United Kingdom;Western Europe;"Routledge";"2002, 2010-2021";"History (Q2); Cultural Studies (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1072;21100905630;"Series on Chinese Economics Research";book series;"22511644";0,130;Q4;0;13;38;345;0;1;0,00;26,54;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2019-2021";"Economics, Econometrics and Finance (miscellaneous) (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1073;21100407766;"Studies in Intercultural Human Rights";book series;"18769861";0,130;Q4;5;0;8;0;0;1;0,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2009-2010, 2012-2013, 2015-2016, 2018, 2020";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1074;25722;"World Policy Journal";journal;"07402775";0,130;Q4;21;0;31;0;14;1;0,00;0,00;United States;Northern America;"Duke University Press";"1989, 1994, 1996-2018";"Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1075;6000160653;"British Journal of Canadian Studies";journal;"17578078, 02699222";0,129;Q4;5;0;12;0;4;11;0,00;0,00;United Kingdom;Western Europe;"Liverpool University Press";"2011-2018";"Literature and Literary Theory (Q2); Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)"
1076;5700164225;"Diplomacy and Statecraft";journal;"1557301X, 09592296";0,129;Q4;15;38;108;0;35;106;0,39;0,00;United Kingdom;Western Europe;"Routledge";"1990-1996, 1998, 2001-2003, 2010-2021";"History (Q2); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1077;21101044944;"Journal of Austrian-American History";journal;"24750913, 24750905";0,129;Q4;2;0;19;0;1;18;0,00;0,00;United States;Northern America;"Penn State University Press";"2017-2020";"History (Q2); Cultural Studies (Q3); Geography, Planning and Development (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1078;21100824449;"Norteamerica";journal;"18703550, 24487228";0,129;Q4;4;22;60;1045;9;59;0,11;47,50;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2016-2021";"Cultural Studies (Q3); Demography (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1079;21100874343;"Politics and Religion Journal";journal;"18206581, 1820659X";0,129;Q4;8;19;81;727;18;74;0,32;38,26;Serbia;Eastern Europe;"Center for Study of Religion and Religious Tolerance";"2007-2021";"Religious Studies (Q2); Sociology and Political Science (Q4)"
1080;7200153148;"Revista Brasileira de Gestao e Desenvolvimento Regional";journal;"1809239X";0,129;Q4;7;52;142;1778;30;134;0,30;34,19;Brazil;Latin America;"Universidade de Taubate";"2007-2021";"Environmental Science (miscellaneous) (Q4); Geography, Planning and Development (Q4); Sociology and Political Science (Q4); Urban Studies (Q4)"
1081;21100216568;"Revista d'Estudis Autonomics i Federals";journal;"18862632";0,129;Q4;6;0;25;0;8;24;0,38;0,00;Spain;Western Europe;"Institut d'Estudis Autonomics";"2012-2020";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1082;21101039807;"Revue de Philosophie Economique";journal;"21184852, 13760971";0,129;Q4;1;7;5;552;1;5;0,20;78,86;France;Western Europe;"Vrin";"2020-2021";"Philosophy (Q3); Economics and Econometrics (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1083;145698;"Cyprus Review";journal;"10152881";0,128;Q4;15;3;92;25;32;80;0,12;8,33;Cyprus;Western Europe;"University of Nicosia";"1996-2020";"Economics and Econometrics (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1084;21100901025;"Derrida Today";journal;"17548519, 17548500";0,128;Q4;2;12;58;278;10;50;0,24;23,17;United Kingdom;Western Europe;"Edinburgh University Press";"2018-2021";"Philosophy (Q3); Sociology and Political Science (Q4)"
1085;13474;"Africa Development/Afrique et Developpement";journal;"08503907";0,126;Q4;14;32;71;1409;9;60;0,09;44,03;Senegal;Africa;"Council for the Development of Social Science Research in Africa";"1978-1979, 1981-1986, 1990, 1994-1995, 2007-2021";"Development (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1086;145624;"Black Scholar";journal;"00064246";0,126;Q4;17;25;90;0;15;58;0,14;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1969-2021";"Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3); Sociology and Political Science (Q4)"
1087;5600153193;"Druzboslovne Razprave";journal;"03523608";0,126;Q4;3;0;43;0;13;43;0,26;0,00;Slovenia;Eastern Europe;"Univerza v Ljubljani";"2017-2020";"Cultural Studies (Q3); Communication (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
1088;21475;"East Central Europe";journal;"00943037, 18763308";0,126;Q4;10;13;47;792;22;47;0,21;60,92;Netherlands;Western Europe;"Brill Academic Publishers";"1975-1983, 1985-1987, 1989-1990, 1992-1993, 1999-2006, 2009-2021";"Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)"
1089;21100885609;"Journal of American-East Asian Relations";journal;"10583947, 18765610";0,126;Q4;9;9;56;255;11;45;0,08;28,33;Netherlands;Western Europe;"Brill Academic Publishers";"1996, 1998-2000, 2002-2003, 2007-2021";"Cultural Studies (Q3); History (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
1090;17700155036;"Pensee Plurielle";journal;"17821479, 13760963";0,126;Q4;5;25;69;595;10;66;0,13;23,80;Belgium;Western Europe;"Boeck Universite";"2001-2021";"Sociology and Political Science (Q4)"
1091;21100812388;"Revista Criminalidad";journal;"17943108, 22565531";0,126;Q4;5;12;90;644;15;85;0,19;53,67;Colombia;Latin America;"Policia Nacional de Colombia";"2016-2021";"Arts and Humanities (miscellaneous) (Q3); Law (Q4); Social Psychology (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
